case_id,variant_id,dimension,group_id,outcome,main_terminal_change_pct,main_support_status,main_baseline_value,main_baseline_support,terminal_months,alternative_normalization_change_pct,alternative_support_status,same_month_change_pct,same_month_support_status,matched_months,raw_wage_mean_change_pct,raw_wage_support_status,cell_mean_winsorized_change_pct,cell_mean_winsorized_support_status,primary_reference_change_pct,composition_delta_pp,normalization_delta_pp,same_month_delta_pp,raw_wage_delta_pp,cell_mean_winsorization_delta_pp
health_care_aides,primary,age,age_26_30,real_admission_wage,1.636599643,adequate,1757.136569,1165,6,-28.65496329,adequate,-25.79164145,adequate,6,8.389438027,adequate,8.389438027,adequate,1.636599643,0,-30.29156293,-27.42824109,6.752838384,6.752838384
health_care_aides,primary,age,age_31_34,admissions,33.27862874,adequate,914,914,6,34.78276905,adequate,41.57374881,adequate,6,33.27862874,adequate,33.27862874,adequate,33.27862874,0,1.504140311,8.295120075,,
health_care_aides,primary,age,age_31_34,real_admission_wage,-29.50779704,adequate,2514.199978,911,6,-28.14657121,adequate,-26.95461092,adequate,6,-24.17854258,adequate,-24.22250721,adequate,-29.50779704,0,1.361225833,2.553186119,5.329254465,5.285289828
health_care_aides,primary,age,age_35_40,admissions,38.24200913,adequate,1314,1314,6,33.5072762,adequate,37.48060449,adequate,6,38.24200913,adequate,38.24200913,adequate,38.24200913,0,-4.734732931,-0.761404638,,
health_care_aides,primary,age,age_35_40,real_admission_wage,-29.31501003,adequate,2514.660439,1313,6,-28.14284571,adequate,-25.62493255,adequate,6,-32.45282585,adequate,-32.45282585,adequate,-29.31501003,0,1.172164316,3.690077473,-3.137815823,-3.137815823
health_care_aides,primary,age,age_41_49,admissions,61.56531532,adequate,1480,1480,6,64.87393413,adequate,75.19842317,adequate,6,61.56531532,adequate,61.56531532,adequate,61.56531532,0,3.308618813,13.63310785,,
health_care_aides,primary,age,age_41_49,real_admission_wage,-37.59091032,adequate,2807.312336,1475,6,-31.54190261,adequate,-30.75759922,adequate,6,-35.36236418,adequate,-35.36236418,adequate,-37.59091032,0,6.049007705,6.833311098,2.228546131,2.228546131
health_care_aides,primary,age,age_50_plus,admissions,94.64788732,adequate,710,710,6,97.93755371,adequate,107.4030066,adequate,6,94.64788732,adequate,94.64788732,adequate,94.64788732,0,3.289666386,12.75511931,,
health_care_aides,primary,age,age_50_plus,real_admission_wage,-48.84732289,adequate,3208.200117,709,6,-47.29901711,adequate,-37.5989314,adequate,6,-42.53133239,adequate,-42.53133239,adequate,-48.84732289,0,1.54830578,11.2483915,6.315990502,6.315990502
health_care_aides,primary,education,education_other,admissions,43.29811173,adequate,6814,6814,6,42.86829078,adequate,49.02382324,adequate,6,43.29811173,adequate,43.29811173,adequate,43.29811173,0,-0.4298209511,5.725711505,,
health_care_aides,primary,education,education_other,real_admission_wage,-27.8775932,adequate,2409.146505,6800,6,-34.58913056,adequate,-31.96467655,adequate,6,-25.53022876,adequate,-25.53022876,adequate,-27.8775932,0,-6.711537369,-4.087083358,2.347364437,2.347364437
health_care_aides,primary,education,higher_education,admissions,68.15434682,adequate,717,717,6,68.22473373,adequate,72.24915851,adequate,6,68.15434682,adequate,68.15434682,adequate,68.15434682,0,0.07038691788,4.094811698,,
health_care_aides,primary,education,higher_education,real_admission_wage,-2.597604547,adequate,1898.995996,714,6,-16.21158964,adequate,-14.8478532,adequate,6,-5.868638114,adequate,-5.953700155,adequate,-2.597604547,0,-13.61398509,-12.25024866,-3.271033568,-3.356095608
health_care_aides,primary,overall,all,admissions,45.66458638,adequate,7531,7531,6,45.27492319,adequate,51.24747151,adequate,6,45.66458638,adequate,45.66458638,adequate,45.66458638,0,-0.3896631853,5.582885136,,
health_care_aides,primary,overall,all,real_admission_wage,-25.88374081,adequate,2360.670665,7514,6,-33.06030323,adequate,-30.6610178,adequate,6,-23.80398296,adequate,-23.80398296,adequate,-25.88374081,0,-7.176562421,-4.777276994,2.079757844,2.079757844
