subclasse,secao,divisao,periodo_num,treated_cbo_families,control_cbo_families,has_treated_control_coexistence
0112101,A,01,202504,10,47,true
0112101,A,01,202505,10,41,true
0112101,A,01,202506,10,43,true
0112101,A,01,202507,14,38,true
0112101,A,01,202508,9,45,true
0112101,A,01,202509,12,46,true
0112101,A,01,202510,12,43,true
0112101,A,01,202511,7,43,true
0112101,A,01,202512,9,44,true
0112101,A,01,202601,10,49,true
0112101,A,01,202602,11,38,true
0112101,A,01,202603,8,43,true
0112101,A,01,202604,11,43,true
0112101,A,01,202605,12,40,true
0112102,A,01,202101,0,1,false
0112102,A,01,202102,0,0,false
0112102,A,01,202103,0,2,false
0112102,A,01,202104,1,1,true
0112102,A,01,202106,0,1,false
0112102,A,01,202107,0,2,false
0112102,A,01,202108,0,1,false
0112102,A,01,202109,1,3,true
0112102,A,01,202110,0,0,false
0112102,A,01,202111,1,1,true
0112102,A,01,202112,1,2,true
0112102,A,01,202201,3,6,true
0112102,A,01,202202,1,1,true
0112102,A,01,202203,1,5,true
0112102,A,01,202204,1,2,true
0112102,A,01,202205,0,2,false
0112102,A,01,202206,1,4,true
0112102,A,01,202207,3,2,true
0112102,A,01,202208,0,3,false
0112102,A,01,202209,1,4,true
0112102,A,01,202210,2,2,true
0112102,A,01,202211,1,3,true
0112102,A,01,202212,1,3,true
0112102,A,01,202401,0,2,false
0112102,A,01,202402,1,4,true
0112102,A,01,202403,0,2,false
0112102,A,01,202404,0,5,false
0112102,A,01,202405,0,1,false
0112102,A,01,202406,0,4,false
0112102,A,01,202407,0,4,false
0112102,A,01,202408,0,3,false
0112102,A,01,202409,0,5,false
0112102,A,01,202410,0,6,false
0112102,A,01,202411,0,3,false
0112102,A,01,202412,0,4,false
0112102,A,01,202501,0,2,false
0112102,A,01,202502,0,4,false
0112102,A,01,202503,0,0,false
0112102,A,01,202504,0,2,false
0112102,A,01,202505,0,2,false
0112102,A,01,202506,1,2,true
0112102,A,01,202507,0,4,false
0112102,A,01,202508,0,3,false
0112102,A,01,202509,1,2,true
0112102,A,01,202510,1,3,true
0112102,A,01,202511,1,3,true
0112102,A,01,202512,0,1,false
0112102,A,01,202601,1,3,true
0112102,A,01,202602,0,2,false
0112102,A,01,202603,0,2,false
0112102,A,01,202604,0,3,false
0112102,A,01,202605,0,2,false
0112199,A,01,202101,3,15,true
0112199,A,01,202102,2,15,true
0112199,A,01,202103,3,15,true
0112199,A,01,202104,1,11,true
0112199,A,01,202105,3,17,true
0112199,A,01,202106,3,17,true
0112199,A,01,202107,5,17,true
0112199,A,01,202108,1,19,true
0112199,A,01,202109,1,15,true
0112199,A,01,202110,2,19,true
0112199,A,01,202111,1,14,true
0112199,A,01,202112,3,14,true
0112199,A,01,202201,3,15,true
0112199,A,01,202202,4,16,true
0112199,A,01,202203,3,18,true
0112199,A,01,202204,2,11,true
0112199,A,01,202205,2,13,true
0112199,A,01,202206,3,15,true
0112199,A,01,202207,1,14,true
0112199,A,01,202208,4,15,true
0112199,A,01,202209,0,17,false
0112199,A,01,202210,1,15,true
0112199,A,01,202211,3,14,true
0112199,A,01,202212,3,17,true
0112199,A,01,202301,1,9,true
0112199,A,01,202302,2,10,true
0112199,A,01,202303,0,14,false
0112199,A,01,202304,3,10,true
0112199,A,01,202305,3,13,true
0112199,A,01,202306,3,17,true
0112199,A,01,202307,1,12,true
0112199,A,01,202308,2,19,true
0112199,A,01,202309,2,12,true
0112199,A,01,202310,3,12,true
0112199,A,01,202311,1,12,true
0112199,A,01,202312,1,10,true
0112199,A,01,202401,1,11,true
0112199,A,01,202402,1,11,true
0112199,A,01,202403,3,13,true
0112199,A,01,202404,1,18,true
0112199,A,01,202405,2,12,true
0112199,A,01,202406,2,13,true
0112199,A,01,202407,2,17,true
0112199,A,01,202408,2,16,true
0112199,A,01,202409,1,15,true
0112199,A,01,202410,1,19,true
0112199,A,01,202411,3,14,true
0112199,A,01,202412,3,12,true
0112199,A,01,202501,2,11,true
0112199,A,01,202502,3,13,true
0112199,A,01,202503,1,12,true
0112199,A,01,202504,2,13,true
0112199,A,01,202505,1,13,true
0112199,A,01,202506,1,16,true
0112199,A,01,202507,2,14,true
0112199,A,01,202508,2,11,true
0112199,A,01,202509,1,14,true
0112199,A,01,202510,2,13,true
0112199,A,01,202511,0,10,false
0112199,A,01,202512,1,8,true
0112199,A,01,202601,1,12,true
0112199,A,01,202602,2,14,true
0112199,A,01,202603,1,14,true
0112199,A,01,202604,2,13,true
0112199,A,01,202605,0,13,false
0113000,A,01,202101,23,74,true
0113000,A,01,202102,16,90,true
0113000,A,01,202103,24,87,true
0113000,A,01,202104,23,79,true
0113000,A,01,202105,23,73,true
0113000,A,01,202106,27,81,true
0113000,A,01,202107,25,75,true
0113000,A,01,202108,24,76,true
0113000,A,01,202109,22,80,true
0113000,A,01,202110,21,83,true
0113000,A,01,202111,21,76,true
