outcome,row_position,column_position,row_event_time,column_event_time,covariance_python,covariance_r,_merge,covariance_absolute_difference,comparison_pass
ln_salario_real_adm,23,11,1,-12,1.3874107061637484e-05,1.3874107061326e-05,both,3.114845078915074e-16,True
ln_salario_real_adm,23,12,1,-11,0.0001407016943233,0.0001407016943227,both,5.999974822534782e-16,True
ln_salario_real_adm,23,13,1,-10,7.002627728249416e-05,7.00262772820626e-05,both,4.3156667475785504e-16,True
ln_salario_real_adm,23,14,1,-9,9.021882897852495e-05,9.02188289779524e-05,both,5.725536147624388e-16,True
ln_salario_real_adm,23,15,1,-8,6.524765026235843e-05,6.52476502618552e-05,both,5.032188858319908e-16,True
ln_salario_real_adm,23,16,1,-7,8.934802311019092e-05,8.93480231096349e-05,both,5.560195316320349e-16,True
ln_salario_real_adm,23,17,1,-6,0.0001273089613187,0.0001273089613182,both,5.000069368960025e-16,True
ln_salario_real_adm,23,18,1,-5,0.0001516085888916,0.0001516085888909,both,6.999880276109538e-16,True
ln_salario_real_adm,23,19,1,-4,3.600465456527776e-05,3.60046545649081e-05,both,3.6966550697251077e-16,True
ln_salario_real_adm,23,20,1,-3,4.555257543771742e-05,4.55525754373387e-05,both,3.7871859511276473e-16,True
ln_salario_real_adm,23,21,1,-2,6.985444699332847e-05,6.98544469928098e-05,both,5.186687667899093e-16,True
ln_salario_real_adm,23,22,1,0,0.0001080266359426,0.000108026635942,both,5.999974822534782e-16,True
ln_salario_real_adm,23,23,1,1,0.0002321982560713,0.0002321982560708,both,4.999798318416904e-16,True
ln_salario_real_adm,23,24,1,2,0.0001367536021049,0.0001367536021042,both,6.999880276109538e-16,True
ln_salario_real_adm,23,25,1,3,9.999600836937036e-05,9.99960083687193e-05,both,6.510634045775454e-16,True
ln_salario_real_adm,23,26,1,4,0.0001157287953339,0.0001157287953332,both,7.000015801381099e-16,True
ln_salario_real_adm,23,27,1,5,0.000126326097285,0.0001263260972843,both,6.999880276109538e-16,True
ln_salario_real_adm,23,28,1,6,7.856220192449816e-05,7.8562201923789e-05,both,7.091630884956124e-16,True
ln_salario_real_adm,23,29,1,7,7.831253141769796e-05,7.83125314169312e-05,both,7.667613289089048e-16,True
ln_salario_real_adm,23,30,1,8,0.0001018924258054,0.0001018924258047,both,7.000015801381099e-16,True
ln_salario_real_adm,23,31,1,9,0.0001150422695553,0.0001150422695547,both,5.999974822534782e-16,True
ln_salario_real_adm,23,32,1,10,6.105935949391107e-05,6.10593594931943e-05,both,7.16766056230167e-16,True
ln_salario_real_adm,23,33,1,11,8.960306772609669e-05,8.96030677254631e-05,both,6.335941970733727e-16,True
ln_salario_real_adm,23,34,1,12,3.9893837275102005e-05,3.98938372746025e-05,both,4.99505493391228e-16,True
ln_salario_real_adm,23,35,1,13,9.197852188037796e-05,9.19785218798152e-05,both,5.627686901557571e-16,True
ln_salario_real_adm,23,36,1,14,7.69562864930416e-05,7.69562864923286e-05,both,7.129984536807799e-16,True
ln_salario_real_adm,23,37,1,15,0.000122616685133,0.0001226166851322,both,8.000056780227416e-16,True
ln_salario_real_adm,23,38,1,16,8.628473088054043e-05,8.62847308799499e-05,both,5.905378182985421e-16,True
ln_salario_real_adm,23,39,1,17,6.548010249102965e-05,6.54801024903717e-05,both,6.579480883728284e-16,True
ln_salario_real_adm,23,40,1,18,6.405061125158837e-05,6.40506112509491e-05,both,6.392591534246095e-16,True
